States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation
Iowa,"194,043.45",221254,93903,14162.5,8102.1,25910.09,0,3390000,0,3936.75,39991.61,93903.2,"14,766.68",29728.96,20849,676.45,5729,5551.9,738.31,3000,3549,23985.04,0,0,5501.88,854.91*,6622.57,0,7776.6,6920,7851,29729,19756,10448,42025,55577,11852,21745,22143,18464,11562,63034,51874,161443,28477,96901,486684.81,610929,1380000,592311,1050000,5046032.76,514833
Kansas,"62,667.40","$24,839",1375,1596,3042.54,0,0,623899,1514,2905.56,11836.67,1375,"21,568.79",21659.11,23333,0,976,4585.14,130.46,34,0,6521.34,934.8,4196.6,3487.73,690.96,5480.08,375.42,8884.66,4892,7679,12874,26743,14196,23150,18370,18576,4350,103713,43226,62227,110954,62393,166277,260933,76885,349052.51,1470000,910118,647441,716014,5230552.83,497733
Kentucky,"33,069.70","371,686.69",253477,13872,50142.38,4198,0,1060000,1413,6149.62,39046.58,253476,"41,272.13",40575.49,51189,0,4318.99,21529.44,3749.41,3000,11432,6235.94,0,0,10072.22,7459.49,14301.04,620,153707,10065,41244,23623,45641.53,7779.94,14358,36023,36675,78630,688417,78274,42295,94192,110407,109584,238383,76362,482208.9,560249,1110000,1290000,1690000,7533958.72,677821
Louisiana,"1,011.20","11,179.11",1450000,1199.99,1177.07,3500,0,4510000,0,589.98,19489.17,91715,"2,889.74",6387.46,8926.09,0,2022.96,0,3809.06,0,2194,1500,783.9,4860.52,1759.58,3476.7,843.66,79.98,498,22.56,3377,4990,12269.42,1676.45,26611,1330.96,17854,4547,103729,46563,24990,63763,35613,27069,165217,31513,124662.16,131030,341977,554258,400860,2275748.35,711783
Maine,508.6,"59,815.17",0,0,1076.77,0,0,134943,0,0,4988.05,0,244.69,5178.98,4537.6,313.6,1309.99,0,107.95,0,4036,1837.99,0,1316.7,1631.3,549.95,193.61,0,1898,0,798,4740,0,1200,2302,2661.54,2427,6342,4931,3336,2961,10474,14324,14530,0,77695,48726.19,74005,264073,193868,64835,822373.14,180461
Maryland,"2,983.73","10,226.50",0,399,9092.11,0,0,2100000,0,1599.95,355499.01,0,"49,165.10",12615.75,87429,359.85,2889,0,3596.94,0,0,0,0,429,3166.3,1868.88,2339.89,10603.85,0,1399.93,9289,0,5213,60415,13562,102861,3750000,66555,78758,181778,6060,28695,122234,103176,133719,157724,458884.37,1880000,1480000,903026,2390000,12464911.82,896827
Massachusetts,"14,073.29","975,173.70",77723,0,17370.2,11999,0,641545,149,514.28,35697.69,77723.39,"10,697.13",16498.43,17577,1338.99,7048.64,0,618.66,0,0,17795.23,1940.25,67119.41,347.28,2649.69,3372.5,901,0,10465,11860,30402.9,26297,11457.73,15108,72600,21668,35762,51199,18482.4,41422,64246,99764,74564,22992,264291,479961.08,587705,882177,637514,748827,4470753.68,962297
Michigan,"36,914.50","309,442.46",204051,47707,50076.38,24084.19,0,4680000,7293,5630.48,23397.11,199125.5118,"58,776.56",34837.02,100377,1047.68,5246.25,1056.15,798.02,0,39016.77,7246.01,0,0,11063.73,1812.37,16614.37,7209,3595,5796,22820,76370,12083,13765,21052,16936,25256,43051,60441,18824,64932,113799,163711,194926,199932,429586,675300.25,940436,2130000,1470000,1990000,9213158.282,1504194
Minnesota,"176,239","9,126.63",30542,125634,192318.29,173038.18,0,1520000,4097,5525.02,100606.45,30255.8,"32,718.20",30493.36,70043,323.5,15184.75,832.86,1304.02,0,30919.15,20307,1899.9,10605.5,3826.79,2984.64,32040.92,6582,5185,10503,22465,24549,58128,11451,18369,71318,63630,36534,590294,120726,65761,132355,224949,289457,232358,353942,862613.9,1030000,2310000,2050000,2850000,11835137.76,889304
Mississippi,"15,610.21","394,497.90",0,5130,1025.6,0,0,107023,3898.96,6713.99,1458.7,0,615.88,2117.93,19896.63,77.98,6679.68,0,142.6,0,0,0,0,0,0,2984.64,499,800,1519,75.84,2183,0,2099,1249.2,2375,800,915.81,948,20928,6086.6,70,39187,6680,46671,3895,31631,88432.09,101802,37162,111604,439808,992007.53,471298
